id;event_name;description;category;event_start_date;event_end_date;location;date_created;last_modified_date
1;Fantastic Cambridgeshire;Regional Music;SPORTS;2022-02-16T07:19:51;2022-02-15T13:14:29;Fantastic;2022-02-16T03:02:42;2022-02-16T07:34:23
2;silver card Orchestrator;Games Berkshire;EDUCATIONAL;2022-02-16T08:27:05;2022-02-15T10:05:48;Program;2022-02-15T10:29:13;2022-02-15T13:28:58
3;methodologies Analyst;Chair;SPORTS;2022-02-15T18:43:45;2022-02-16T02:47:14;e-business info-mediaries Salad;2022-02-15T20:57:25;2022-02-16T02:55:24
4;Borders;1080p Incredible;SPORTS;2022-02-15T14:21:42;2022-02-16T03:04:53;sexy Plastic;2022-02-15T10:14:51;2022-02-15T18:29:08
5;Row HDD implement;Phased Personal Avon;EDUCATIONAL;2022-02-15T14:26:12;2022-02-15T11:05:43;compelling Granite;2022-02-15T12:17:05;2022-02-15T16:08:16
6;Plastic;microchip Senior rich;EDUCATIONAL;2022-02-16T01:19:05;2022-02-15T20:18:29;THX;2022-02-16T08:00:57;2022-02-15T23:21:50
7;Hawaii;Plastic City Music;SPORTS;2022-02-16T02:51:17;2022-02-16T02:05:24;Ball Digitized Berkshire;2022-02-16T07:43:16;2022-02-16T09:12:29
8;ivory;Configuration Shoes;SOCIAL;2022-02-16T02:04:23;2022-02-15T20:24:24;generating driver Frozen;2022-02-15T12:46:10;2022-02-15T21:07:12
9;eyeballs withdrawal;bluetooth sensor Dynamic;SOCIAL;2022-02-16T03:58:09;2022-02-15T14:05:28;Mouse;2022-02-15T15:07:02;2022-02-16T03:46:12
10;Incredible SCSI Steel;bi-directional firewall circuit;EDUCATIONAL;2022-02-16T00:01:04;2022-02-15T21:47:46;implement;2022-02-15T21:23:57;2022-02-16T08:12:13
